ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석,등장인물
1,엔지니어,정비가 끝났습니다. 어떠신가요?,,1,8,,엔지니어(주인공)
2,시안,음... 조금 부족해요. 제가 원하던 퍼포먼스는 안 나오네요.,,,,,조세핀(조수)
3,레네,작가님^ 제가 나머지는 봐드릴게요. 저 이래뵈도 박사라고요.,0,,,,실베스터(스파링 로봇)
4,엔지니어,너 안드로이드 엔지니어 라이선스 안 따지 않았어?,1,,,,레네(당근패드 들고 있는 여캐)
5,레네,너랑 라이선스 시험 같이 봤고^ 점수도 1등이었거든?,,,,,시안(만화가 로봇)
6,엔지니어,아^ 맞다. 그걸로 엄청 놀려댔었지.,0,,,레네0평소1정면2웃음3놀람,
7,레네,2월 22일에 2등한 사람이 어디 사는 누구시더라~?,,,,시안0평소1정면2웃음,
8,엔지니어,시끄러.,1,,,,
9,레네,아무튼^ 너 정비소 좀 쓴다. 작가님^ 들어오세요.,,3,10,레네 퇴장,
10,시안,잠시 실례하겠습니다.,1,3,8,시안 퇴장,
11,조세핀,...진짜 2월 22일에 2등했어요?,1,,,,
12,엔지니어,하필 그 전날에 배탈이 나는 바람에 컨디션이 안좋았거든.,2,,,,
13,조세핀,그런 상태인데 어떻게 2등을 했대요..,,,,,
14,레네,자^ 정비 끝. 지금은 더 나아졌을거에요.,2,1,10,레네 왼쪽에 등장,
15,시안,네! 제가 원하던 퍼포먼스가 딱 나오네요!,2,1,8,시안 중앙에 등장,
16,엔지니어,확실히 박사님은 일개 엔지니어랑 수준이 다르다니까.,2,,,,
17,레네,부러우면 박사 학위 따. 대학원으로 와 볼래?,,,,,
18,엔지니어,나는 대학원을 갈 생각이 없어요^ 척척박사님.,1,,,,
19,레네,아쉽네^ 좋은 대학원생으로 써먹을 수 있을텐데.,,,,,
20,시안,두 분 참 사이가 좋네요.,0,,,,
21,시안,전 이제 만화 마감을 마무리하러 가야 해서^ 이만 가볼게요!,2,,,,
22,시안,오늘 고마웠어요!,1,3,8,시안 퇴장,
23,엔지니어,안녕히 가세요.,1,,,,
24,레네,나도 대학원생들이 쫓아오기 전에 빨리 연구실로 돌아가야겠다. 안녕!,,3,10,레네 퇴장,
25,엔지니어,가다가 대학원생들한테 붙잡혀라!,1,,,조세핀 퇴장,
26,레네,그러기 전에 도망칠거거든~,,,,,
27,조세핀,언제나 변함 없는 모습이라니까요.,,,,조세핀 중앙에 등장,
28,엔지니어,그래도 나 말고 친구가 생겨서 다행이네^ 그것도 자기가 좋아하는 만화 작가라니.,0,,,,
29,조세핀,이렇게 오늘도 영업이 끝났군요.,,,,,
30,엔지니어,정말 긴 하루였던 거 같아.,1,,,,
31,조세핀,마무리가 좀 미묘하게 끝나긴 했지만. 이렇게 일주일이 끝났네요.,,,,,
32,엔지니어,내일은 일요일이니까 쉬어야지!,0,,,,
33,엔지니어,오랜만에 집에서 과자나 쌓아놓고 게임이나 하자.,,,,,
34,조세핀,저한테 다시 도전하시게요? 제 전적이 141전 140승인거 아시죠?,,,,,
35,엔지니어,한 번 이겼다는 건 다시 이길 수 있는 기회가 있다는거지!,2,,,,
36,[시스템 메시지],DAY 6 종료,,,,,